Collection Name,Document Count
c2_l8_232_40m,266966
c1_l8_520_60m,11690
c2_l8_179_15m,240759
c2_l8_31_15m,64421
c2_l8_211_40m,1032321
c2_l8_111_100m,231391
c2_l8_95_100m,529476
c2_l8_203_125m,1981901
c2_l8_230_100m,346567
c2_l8_57_100m,1330967
c2_l8_212_250m,1386696
c2_l8_108_250m,2863825
c2_l8_15_40m,895161
c2_l8_228_125m,2194189
c2_l8_235_100m,1336166
c2_l8_112_60m,62754
c2_l8_147_10m,500000
c2_l8_92_125m,1860925
c2_l8_165_1m,3167443
c2_l8_131_40m,250870
c2_l8_204_30m,1965156
c2_l8_203_10m,1981901
c2_l8_71_30m,2395819
c2_l8_227_10m,2191658
c2_l8_34_30m,1697108
c2_l8_157_40m,417961
c2_l8_219_20m,49919
c2_l8_231_125m,1190391
c2_l8_72_250m,1811654
c2_l8_189_30m,2613623
c2_l8_192_40m,1208800
c2_l8_168_15m,2238632
c2_l8_233_1m,750426
c2_l8_201_10m,1847602
c2_l8_237_90m,282265
c1_l8_198_60m,266387
c2_l8_184_60m,911503
c2_l8_222_20m,278486
c2_l8_54_1m,709384
c2_l8_110_60m,1222630
c2_l8_221_100m,589792
c2_l8_71_125m,2395819
c2_l8_117_100m,2044078
c2_l8_181_60m,1096562
c2_l8_79_20m,1583502
c2_l8_241_100m,2521158
c2_l8_131_250m,250870
c2_l8_51_100m,1387659
c2_l8_55_60m,662655
c2_l8_151_15m,1796460
c2_l8_119_90m,1614414
c2_l8_234_125m,908685
c2_l8_182_250m,1394786
c2_l8_68_100m,261995
c2_l8_217_1m,1234592
c1_l8_488_60m,10764
c2_l8_187_10m,1976576
c2_l8_190_20m,2366606
c2_l8_230_10m,346567
c2_l8_154_15m,39540
c2_l8_182_100m,1394786
c2_l8_194_90m,317742
c2_l8_37_40m,1129380
c2_l8_188_90m,2521789
c2_l8_211_30m,1032321
c2_l8_155_1m,183264
c2_l8_78_20m,1614902
c2_l8_237_10m,282265
c2_l8_191_250m,1722129
c2_l8_157_1m,417961
c2_l8_127_15m,1154331
c2_l8_199_40m,391051
